"character","age_m_valar","age_f_valar","nr_m_valar","nr_f_valar","nr_m_conc","nr_f_conc","m_valar_users","f_valar_users","valence","arousal","dominance","concreteness","imageability","significance","origin","valence_m","arousal_m","dominance_m","concreteness_m","imageability_m","significance_m","origin_m","valence_f","arousal_f","dominance_f","concreteness_f","imageability_f","significance_f","origin_f","tones"
"光","28.4444444444444","30.1538461538462","27","26","21","22","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","7.16071428571429","6.17857142857143","5.625","3.48837209302326","7.44186046511628","6.95348837209302","5.55813953488372","7.14814814814815","6.81481481481481","5.74074074074074","4.38095238095238","7.19047619047619","6.80952380952381","5.52380952380952","7.42307692307692","5.73076923076923","5.57692307692308","2.63636363636364","7.68181818181818","7.09090909090909","5.59090909090909","1"
"娶","28.2307692307692","30.1481481481481","26","27","20","21","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,101,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","6.16071428571429","6.14285714285714","5.44642857142857","4.11627906976744","6.16279069767442","6.27906976744186","4.65116279069767","6.76923076923077","7.11538461538461","5.46153846153846","3.95","6.5","6.5","5.5","5.77777777777778","5.18518518518519","5.55555555555556","4.47619047619048","6","6.38095238095238","4.19047619047619","1"
"还","27.44","30.1481481481481","25","27","18","22","3,7,9,11,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,101,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","4.82142857142857","4.57142857142857","4.92857142857143","5.41463414634146","4.36585365853659","5.41463414634146","5.82926829268293","5.4","5.04","5.04","4.33333333333333","5","5.72222222222222","6.16666666666667","4.33333333333333","4.11111111111111","4.85185185185185","6.36363636363636","3.86363636363636","5.04545454545455","5.68181818181818","2"
"妨","28.4444444444444","30.1538461538462","27","26","19","23","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","4.29824561403509","4.43859649122807","4.24561403508772","6.45238095238095","4","4.57142857142857","5.35714285714286","4.44444444444444","4.81481481481481","4.2962962962963","6","5","5","5.57894736842105","4.07692307692308","4.03846153846154","4.15384615384615","6.82608695652174","3.17391304347826","4.21739130434783","5.17391304347826","1"
"总","27.6666666666667","30.1481481481481","24","27","19","23","3,7,9,11,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,101,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","5.36842105263158","4.73684210526316","5.6140350877193","5.81395348837209","4.51162790697674","5.48837209302326","5.65116279069767","5.25","5.29166666666667","5.20833333333333","5.47368421052632","4.94736842105263","5.73684210526316","5.52631578947368","5.51851851851852","4.40740740740741","5.96296296296296","6.30434782608696","4.30434782608696","5.47826086956522","5.95652173913043","3"
"傲","28.48","30.3703703703704","25","27","18","24","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20006,20003,60010","4.56140350877193","6.31578947368421","6.33333333333333","5.64285714285714","5.54761904761905","5.16666666666667","3.73809523809524","4.6","6.28","6.04","5.05555555555556","6","5.38888888888889","4.27777777777778","4.66666666666667","6.33333333333333","6.74074074074074","6.08333333333333","5.20833333333333","5","3.33333333333333","2"
"娑","28.6923076923077","30.25","26","28","20","22","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10023,10000,10035,10705,20006,20006,20003,60010","4.92982456140351","4.35087719298246","4.35087719298246","5.3953488372093","4.25581395348837","4.27906976744186","4.62790697674419","5.19230769230769","4.38461538461539","4.42307692307692","5.05","4.85","4.9","4.65","4.82142857142857","4.10714285714286","4.35714285714286","5.90909090909091","3.86363636363636","3.86363636363636","4.77272727272727","1"
"伏","30.8888888888889","30.1538461538462","27","26","19","22","3,7,9,11,201,0,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","4.31578947368421","4.75438596491228","4.78947368421053","5.21951219512195","5.75609756097561","4.68292682926829","5.53658536585366","4.59259259259259","5.51851851851852","5.11111111111111","4.89473684210526","6.26315789473684","4.73684210526316","5.26315789473684","3.92307692307692","4","4.5","5.5","5.31818181818182","4.63636363636364","5.77272727272727","2"
"佩","28.8888888888889","30.1481481481481","27","27","20","24","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,101,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","6.01754385964912","5.08771929824561","4.89473684210526","5.17777777777778","5.11111111111111","5.15555555555556","5.57777777777778","6","5.25925925925926","4.62962962962963","4.9","5.65","5.2","5.6","6.14814814814815","4.85185185185185","5.14814814814815","5.33333333333333","4.75","5.08333333333333","5.45833333333333","4"
"婵","27.44","30.1481481481481","25","27","18","23","3,7,9,11,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,101,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","5.78181818181818","4.25454545454545","4.94545454545455","5.69767441860465","4.62790697674419","4.30232558139535","4.6046511627907","5.84","4.68","5.24","5.22222222222222","6.05555555555556","4.66666666666667","5.22222222222222","5.81481481481481","3.7037037037037","4.74074074074074","6.34782608695652","3.73913043478261","4.17391304347826","4.21739130434783","2"
"尔","27.6666666666667","30.1481481481481","24","27","19","24","3,7,9,11,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,101,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","4.98181818181818","3.49090909090909","4.67272727272727","6.41860465116279","3.27906976744186","4.23255813953488","4.90697674418605","4.91666666666667","3.83333333333333","4.95833333333333","5.94736842105263","3.84210526315789","5.05263157894737","4.94736842105263","5","3.07407407407407","4.40740740740741","6.79166666666667","2.83333333333333","3.58333333333333","4.875","3"
